timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716844866826,591,DELETE Pet,200,User threads 1-1,text,true,4283,348,1,1,http://localhost:8080/owners/1,297,0,18
1716844866826,302,DELETE Pet-0,302,User threads 1-1,,true,188,224,1,1,http://localhost:8080/owners/1/pets/1/delete,297,0,18
1716844867130,287,DELETE Pet-1,200,User threads 1-1,text,true,4095,124,1,1,http://localhost:8080/owners/1,286,0,0
1716844867788,37,DELETE Pet,200,User threads 1-2,text,true,4282,348,1,1,http://localhost:8080/owners/2,26,0,1
1716844867788,26,DELETE Pet-0,302,User threads 1-2,,true,188,224,1,1,http://localhost:8080/owners/2/pets/2/delete,26,0,1
1716844867814,11,DELETE Pet-1,200,User threads 1-2,text,true,4094,124,1,1,http://localhost:8080/owners/2,11,0,0
1716844868783,26,DELETE Pet,200,User threads 1-3,text,true,4286,348,1,1,http://localhost:8080/owners/3,17,0,1
1716844868783,17,DELETE Pet-0,302,User threads 1-3,,true,188,224,1,1,http://localhost:8080/owners/3/pets/3/delete,17,0,1
1716844868801,8,DELETE Pet-1,200,User threads 1-3,text,true,4098,124,1,1,http://localhost:8080/owners/3,8,0,0
1716844869780,22,DELETE Pet,200,User threads 1-4,text,true,4278,348,1,1,http://localhost:8080/owners/4,14,0,1
1716844869780,14,DELETE Pet-0,302,User threads 1-4,,true,188,224,1,1,http://localhost:8080/owners/4/pets/4/delete,14,0,1
1716844869794,8,DELETE Pet-1,200,User threads 1-4,text,true,4090,124,1,1,http://localhost:8080/owners/4,8,0,0
1716844870795,27,DELETE Pet,200,User threads 1-5,text,true,4280,348,1,1,http://localhost:8080/owners/5,18,0,1
1716844870795,18,DELETE Pet-0,302,User threads 1-5,,true,188,224,1,1,http://localhost:8080/owners/5/pets/5/delete,18,0,1
1716844870814,8,DELETE Pet-1,200,User threads 1-5,text,true,4092,124,1,1,http://localhost:8080/owners/5,8,0,0
1716844871782,22,DELETE Pet,200,User threads 1-6,text,true,4276,348,1,1,http://localhost:8080/owners/6,15,0,1
1716844871782,15,DELETE Pet-0,302,User threads 1-6,,true,188,224,1,1,http://localhost:8080/owners/6/pets/6/delete,15,0,1
1716844871797,7,DELETE Pet-1,200,User threads 1-6,text,true,4088,124,1,1,http://localhost:8080/owners/6,7,0,0
1716844872784,25,DELETE Pet,200,User threads 1-7,text,true,4273,348,1,1,http://localhost:8080/owners/7,17,0,1
1716844872784,17,DELETE Pet-0,302,User threads 1-7,,true,188,224,1,1,http://localhost:8080/owners/7/pets/7/delete,17,0,1
1716844872802,7,DELETE Pet-1,200,User threads 1-7,text,true,4085,124,1,1,http://localhost:8080/owners/7,7,0,0
1716844873782,21,DELETE Pet,200,User threads 1-8,text,true,4277,348,1,1,http://localhost:8080/owners/8,14,0,1
1716844873782,14,DELETE Pet-0,302,User threads 1-8,,true,188,224,1,1,http://localhost:8080/owners/8/pets/8/delete,14,0,1
1716844873797,6,DELETE Pet-1,200,User threads 1-8,text,true,4089,124,1,1,http://localhost:8080/owners/8,6,0,0
1716844874793,18,DELETE Pet,200,User threads 1-9,text,true,4285,348,1,1,http://localhost:8080/owners/9,11,0,1
1716844874793,11,DELETE Pet-0,302,User threads 1-9,,true,188,224,1,1,http://localhost:8080/owners/9/pets/9/delete,11,0,1
1716844874804,7,DELETE Pet-1,200,User threads 1-9,text,true,4097,124,1,1,http://localhost:8080/owners/9,7,0,0
1716844875789,17,DELETE Pet,200,User threads 1-10,text,true,4290,351,1,1,http://localhost:8080/owners/10,11,0,1
1716844875789,11,DELETE Pet-0,302,User threads 1-10,,true,189,226,1,1,http://localhost:8080/owners/10/pets/10/delete,11,0,1
1716844875800,6,DELETE Pet-1,200,User threads 1-10,text,true,4101,125,1,1,http://localhost:8080/owners/10,6,0,0
